gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,status
CACNA1C,5.15972862660494,31.7727683794344,2.30278868456833,7.28111788712494e-43,9.85572117201232e-39,Upregulated
SEMA6B,48.036775005303,-16.2967720947921,1.38674082255383,5.20432562345038e-29,3.52228758195122e-25,Downregulated
SHE,8.11392706350227,-19.381996729012,1.69333454670032,2.30358178100248e-28,1.03937609958832e-24,Downregulated
HTRA3,10.7468324316685,15.8301778063975,1.49942008067409,9.24974607683425e-24,3.13011407240071e-20,Upregulated
HSPA12B,20.2763939392488,-15.801373065811,1.50663725511535,1.79927944075378e-23,4.87100930200864e-20,Downregulated
ARC,43.7732018082859,-16.1233456206593,1.56591637715153,8.87321751618941e-23,2.00179787165233e-19,Downregulated
GUCY1A2,9.33219857342475,14.4859488575408,1.5090858472112,9.46941241755401e-20,1.83111380691444e-16,Upregulated
PTH1R,10.1711751755278,-16.0301499387108,1.69842631038846,1.72650308748004e-19,2.92124322401624e-16,Downregulated
AGT,62.6694871815116,-18.5341314274569,1.99632818335743,2.19569904798088e-19,3.30233136816324e-16,Downregulated
SGCA,8.95251624211371,-16.1028922417854,1.71826510713267,2.91801689639389e-19,3.94982767095878e-16,Downregulated
RASL12,12.6272753642808,-15.0910007483223,1.74104174269334,1.27069499232269e-16,1.56364794691636e-13,Downregulated
GKN2,5.97189412728127,-14.6631149448783,1.73116417111179,6.80932946188616e-16,7.68092363300759e-13,Downregulated
CHRD,6.22849088820167,-14.4616398219538,1.73233786910044,1.83148051030044e-15,1.90699386057129e-12,Downregulated
LMOD1,25.3913685557054,-16.97861669077,2.24519277786331,1.88350265494332e-13,1.82107799552234e-10,Downregulated
MIA2,95.6414967286675,-10.8997341423181,1.39664542504057,4.20867323275211e-13,3.7979067252355e-10,Downregulated
SCN7A,4.98059726955443,-21.8882944856427,3.07027424403715,7.56605301396814e-13,6.40088084981705e-10,Downregulated
TBX4,12.3915999479525,-11.1343062366505,1.52607597096764,9.3929960299411e-12,7.47903495654604e-09,Downregulated
HIF3A,15.6969912256848,-16.8628777391247,2.46301238799816,2.04487122482484e-11,1.53774316106828e-08,Downregulated
EVA1B,88.0047533321777,-4.0332074989283,0.839920779856202,9.9320119108408e-07,0.000707577438027058,Downregulated
C4orf48,113.164648174091,-5.16451574408095,1.3337171962676,4.39312809591909e-06,0.00297326909531804,Downregulated
SPTB,76.8825868239856,-3.2465738268607,0.812458898505621,2.27779378045426e-05,0.0146820079105852,Downregulated
PDE8B,45.5518862962186,-5.08830567012046,1.94023053395005,3.09633350875225e-05,0.0190508956247593,Downregulated
PDF,25.8915621062926,-5.32042715606652,2.7094242843299,5.79557838077662e-05,0.034108238679214,Downregulated
TEKT4P2,42.8298216232991,-2.76048102887074,0.676316478226794,6.31294814789031e-05,0.0356050275541013,Downregulated
HSPE1,355.671435188302,-2.42925690549599,0.531961238663308,8.95970536016533e-05,0.0485114287020792,Downregulated
